time,P12,P14,P21,P24,P27,P7,P8
0.0,50.0,0,0,2.0,4.0,0,0
0.5,50.0,0,0,2.0,4.0,0,0
0.5012,50.0,0,0,2.0,4.0,0,0
1.0011999999999999,50.0,0,0,2.0,4.0,0,0
1.0024,50.0,0,0,2.0,4.0,0,0
1.5024,50.0,0,0,2.0,4.0,0,0
1.5036,50.0,0,0,2.0,4.0,0,0
2.0036,50.0,0,0,2.0,4.0,0,0
2.0048,50.0,0,0,2.0,4.0,0,0
2.5048,50.0,0,0,2.0,4.0,0,0
2.506,50.0,0,0,2.0,4.0,0,0
3.006,50.0,0,0,2.0,4.0,0,0
3.0071999999999997,50.0,0,0,2.0,4.0,0,0
3.5071999999999997,50.0,0,0,2.0,4.0,0,0
3.5083999999999995,50.0,0,0,2.0,4.0,0,0
4.0084,50.0,0,0,2.0,4.0,0,0
4.0096,50.0,0,0,2.0,4.0,0,0
4.5096,50.0,0,0,2.0,4.0,0,0
4.5108,50.0,0,0,2.0,4.0,0,0
5.0108,50.0,0,0,2.0,4.0,0,0
5.012,50.0,0,0,2.0,4.0,0,0
5.512,50.0,0,0,2.0,4.0,0,0
5.513199999999999,50.0,0,0,2.0,4.0,0,0
6.013199999999999,50.0,0,0,2.0,4.0,0,0
6.014399999999999,50.0,0,0,2.0,4.0,0,0
6.514399999999999,50.0,0,0,2.0,4.0,0,0
6.515599999999999,50.0,0,0,2.0,4.0,0,0
7.015599999999999,50.0,0,0,2.0,4.0,0,0
7.016799999999999,50.0,0,0,2.0,4.0,0,0
7.516799999999999,50.0,0,0,2.0,4.0,0,0
7.517999999999999,50.0,0,0,2.0,4.0,0,0
8.017999999999999,50.0,0,0,2.0,4.0,0,0
8.0192,40.0,0,0,2.0,4.0,0,0
8.5192,40.0,0,0,2.0,4.0,0,0
8.5207,40.0,0,0,2.0,4.0,0,0
9.0207,40.0,0,0,2.0,4.0,0,0
9.0222,40.0,0,0,2.0,4.0,0,0
9.5222,40.0,0,0,2.0,4.0,0,0
9.5237,40.0,0,0,2.0,4.0,0,0
10.0237,40.0,0,0,2.0,4.0,0,0
10.0252,40.0,0,0,2.0,4.0,0,0
10.5252,40.0,0,0,2.0,4.0,0,0
10.5267,40.0,0,0,2.0,4.0,0,0
11.0267,40.0,0,0,2.0,4.0,0,0
11.0282,40.0,0,0,2.0,4.0,0,0
11.5282,40.0,0,0,2.0,4.0,0,0
11.5297,40.0,0,0,2.0,4.0,0,0
12.0297,40.0,0,0,2.0,4.0,0,0
12.0312,40.0,0,0,2.0,4.0,0,0
12.5312,40.0,0,0,2.0,4.0,0,0
12.5327,40.0,0,0,2.0,4.0,0,0
13.0327,40.0,0,0,2.0,4.0,0,0
13.0342,40.0,0,0,2.0,4.0,0,0
13.5342,40.0,0,0,2.0,4.0,0,0
13.5357,40.0,0,0,2.0,4.0,0,0
14.0357,40.0,0,0,2.0,4.0,0,0
14.0372,40.0,0,0,2.0,4.0,0,0
14.5372,40.0,0,0,2.0,4.0,0,0
14.5387,40.0,0,0,2.0,4.0,0,0
15.0387,40.0,0,0,2.0,4.0,0,0
15.0402,40.0,0,0,2.0,4.0,0,0
15.5402,40.0,0,0,2.0,4.0,0,0
15.5417,40.0,0,0,2.0,4.0,0,0
16.0417,40.0,0,0,2.0,4.0,0,0
16.0432,40.0,0,0,2.0,4.0,0,0
16.5432,40.0,0,0,2.0,4.0,0,0
16.5447,40.0,0,0,2.0,4.0,0,0
17.0447,40.0,0,0,2.0,4.0,0,0
17.0462,40.0,0,0,2.0,4.0,0,0
17.5462,40.0,0,0,2.0,4.0,0,0
17.5477,40.0,0,0,2.0,4.0,0,0
18.0477,40.0,0,0,2.0,4.0,0,0
18.0492,40.0,0,0,2.0,4.0,0,0
18.5492,40.0,0,0,2.0,4.0,0,0
