time,P12,P14,P21,P24,P27,P7,P8
0.0,50.0,0,0,2.0,4.0,0,0
0.5,50.0,0,0,2.0,4.0,0,0
0.5012,50.0,0,0,2.0,4.0,0,0
1.0011999999999999,50.0,0,0,2.0,4.0,0,0
1.0024,50.0,0,0,2.0,4.0,0,0
1.5024,50.0,0,0,2.0,4.0,0,0
1.5036,50.0,0,0,2.0,4.0,0,0
2.0036,50.0,0,0,2.0,4.0,0,0
2.0048,50.0,0,0,2.0,4.0,0,0
2.5048,50.0,0,0,2.0,4.0,0,0
2.506,50.0,0,0,2.0,4.0,0,0
3.006,50.0,0,0,2.0,4.0,0,0
3.0071999999999997,50.0,0,0,2.0,4.0,0,0
3.5071999999999997,50.0,0,0,2.0,4.0,0,0
3.5083999999999995,50.0,0,0,2.0,4.0,0,0
4.0084,50.0,0,0,2.0,4.0,0,0
4.0096,40.0,0,0,2.0,4.0,0,0
4.5096,40.0,0,0,2.0,4.0,0,0
4.5111,40.0,0,0,2.0,4.0,0,0
5.0111,40.0,0,0,2.0,4.0,0,0
5.0126,40.0,0,0,2.0,4.0,0,0
5.5126,40.0,0,0,2.0,4.0,0,0
5.5141,40.0,0,0,2.0,4.0,0,0
6.0141,40.0,0,0,2.0,4.0,0,0
6.0156,40.0,0,0,2.0,4.0,0,0
6.5156,40.0,0,0,2.0,4.0,0,0
6.5171,40.0,0,0,2.0,4.0,0,0
7.0171,40.0,0,0,2.0,4.0,0,0
7.0186,40.0,0,0,2.0,4.0,0,0
7.5186,40.0,0,0,2.0,4.0,0,0
7.5201,40.0,0,0,2.0,4.0,0,0
8.0201,40.0,0,0,2.0,4.0,0,0
8.0216,40.0,0,0,2.0,4.0,0,0
8.5216,40.0,0,0,2.0,4.0,0,0
8.5231,40.0,0,0,2.0,4.0,0,0
9.0231,40.0,0,0,2.0,4.0,0,0
9.0246,40.0,0,0,2.0,4.0,0,0
9.5246,40.0,0,0,2.0,4.0,0,0
9.5261,40.0,0,0,2.0,4.0,0,0
10.0261,40.0,0,0,2.0,4.0,0,0
10.0276,40.0,0,0,2.0,4.0,0,0
10.5276,40.0,0,0,2.0,4.0,0,0
10.5291,40.0,0,0,2.0,4.0,0,0
11.0291,40.0,0,0,2.0,4.0,0,0
11.0306,40.0,0,0,2.0,4.0,0,0
11.5306,40.0,0,0,2.0,4.0,0,0
11.5321,40.0,0,0,2.0,4.0,0,0
12.0321,40.0,0,0,2.0,4.0,0,0
12.0336,40.0,0,0,2.0,4.0,0,0
12.5336,40.0,0,0,2.0,4.0,0,0
12.5351,40.0,0,0,2.0,4.0,0,0
13.0351,40.0,0,0,2.0,4.0,0,0
13.0366,40.0,0,0,2.0,4.0,0,0
13.5366,40.0,0,0,2.0,4.0,0,0
13.5381,40.0,0,0,2.0,4.0,0,0
14.0381,40.0,0,0,2.0,4.0,0,0
14.0396,30.0,0,0,2.0,4.0,0,0
14.5396,30.0,0,0,2.0,4.0,0,0
14.5416,30.0,0,0,2.0,4.0,0,0
15.0416,30.0,0,0,2.0,4.0,0,0
15.043600000000001,30.0,0,0,2.0,4.0,0,0
15.543600000000001,30.0,0,0,2.0,4.0,0,0
15.545600000000002,30.0,0,0,2.0,4.0,0,0
16.0456,30.0,0,0,2.0,4.0,0,0
16.0476,30.0,0,0,2.0,4.0,0,0
16.5476,30.0,0,0,2.0,4.0,0,0
16.549599999999998,30.0,0,0,2.0,4.0,0,0
17.049599999999998,30.0,0,0,2.0,4.0,0,0
17.051599999999997,30.0,0,0,2.0,4.0,0,0
17.551599999999997,30.0,0,0,2.0,4.0,0,0
17.553599999999996,30.0,0,0,2.0,4.0,0,0
18.053599999999996,30.0,0,0,2.0,4.0,0,0
18.055599999999995,30.0,0,0,2.0,4.0,0,0
18.555599999999995,30.0,0,0,2.0,4.0,0,0
