# experiment: batch_20260309_204710
# replicate_id: 51   seed: 93
# status: completed
# t_start: 0.0   t_end: 60.0   t_units: s
# n_points_original: 121   n_points_kept: 110   compression_ratio: 1.10
# compressor: DeltaFilterCompressor   epsilon: 0.02   max_gap_s: 300.0   min_gap_s: 0.0
# generated: 2026-03-09T23:47:10Z
# col_schema: 0:time(s) | 1:P1:EPO_external:place | 2:P10:PU1_Gene:place | 3:P11:GATA1_mRNA_nuc:place | 4:P12:PU1_mRNA_nuc:place | 5:P13:GATA1_mRNA_cyto:place | 6:P14:PU1_mRNA_cyto:place | 7:P15:GATA1_Protein_cyto:place | 8:P16:PU1_Protein_cyto:place | 9:P17:GATA1_Protein_nuc:place | 10:P18:PU1_Protein_nuc:place | 11:P19:ATP:place | 12:P2:GCSF_external:place | 13:P20:ADP:place | 14:P21:GTP:place | 15:P22:GDP:place | 16:P23:Pi:place | 17:P24:pH_cytoplasm:place | 18:P25:pH_nucleus:place | 19:P26:Mg_cytoplasm:place | 20:P27:Temperature:place | 21:P28:pGATA1_nuc:place | 22:P29:pPU1_nuc:place | 23:P3:EPOR_free:place | 24:P4:EPOR_bound:place | 25:P5:EPOR_internalized:place | 26:P6:GCSFR_free:place | 27:P7:GCSFR_bound:place | 28:P8:GCSFR_internalized:place | 29:P9:GATA1_Gene:place
time,EPO_external,PU1_Gene,GATA1_mRNA_nuc,PU1_mRNA_nuc,GATA1_mRNA_cyto,PU1_mRNA_cyto,GATA1_Protein_cyto,PU1_Protein_cyto,GATA1_Protein_nuc,PU1_Protein_nuc,ATP,GCSF_external,ADP,GTP,GDP,Pi,pH_cytoplasm,pH_nucleus,Mg_cytoplasm,Temperature,pGATA1_nuc,pPU1_nuc,EPOR_free,EPOR_bound,EPOR_internalized,GCSFR_free,GCSFR_bound,GCSFR_internalized,GATA1_Gene
0.0,0.10000000149011612,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3000.0,0.10000000149011612,300.0,1500.0,273.0,1000.0,7.199999809265137,7.5,1.0,310.1499938964844,0.38999998569488525,0.3806000053882599,49.02000045776367,0.49000000953674316,0.49000000953674316,49.060001373291016,0.4699999988079071,0.4699999988079071,1.0
1.0,0.10000000149011612,1.0,0.9234453439712524,0.9182921051979065,1.8976492881774902,1.8975286483764648,2.1106748580932617,2.1106693744659424,0.9831468462944031,0.9820230007171631,2999.756591796875,0.10000000149011612,300.243408203125,1499.8214111328125,273.1785583496094,1000.4219970703125,7.199999809265137,7.5,1.0,310.1499938964844,0.3899586498737335,0.3804903030395508,49.02002716064453,0.48997241258621216,0.48999863862991333,49.0582275390625,0.47169068455696106,0.4700828492641449,1.0
2.0,0.10000000149011612,1.0,0.8547701239585876,0.8448355793952942,1.7983546257019043,1.7976711988449097,2.1913039684295654,2.191232442855835,0.9720841646194458,0.9700478315353394,2999.55078125,0.10000000149011612,300.4492492675781,1499.686767578125,273.3132629394531,1000.7625122070312,7.199999809265137,7.5,1.0,310.1499938964844,0.3898449242115021,0.3803213834762573,49.020057678222656,0.48994749784469604,0.48999491333961487,49.05647277832031,0.47321709990501404,0.47031140327453613,1.0
3.0,0.10000000149011612,1.0,0.7930902242660522,0.7787483930587769,1.7025216817855835,1.7009104490280151,2.2458136081695557,2.245551586151123,0.9650164842605591,0.9622381329536438,2999.38134765625,0.10000000149011612,300.61859130859375,1499.595703125,273.40423583984375,1001.0228271484375,7.199999809265137,7.5,1.0,310.1499938964844,0.38968583941459656,0.3801184892654419,49.020084381103516,0.48992499709129333,0.4899892807006836,49.05474853515625,0.47459471225738525,0.4706568717956543,1.0
4.5,0.10000000149011612,1.0,0.7120420336723328,0.6917662024497986,1.5658677816390991,1.562330961227417,2.286346435546875,2.285475015640259,0.958800196647644,0.9551520347595215,2999.193115234375,0.10000000149011612,300.8070068359375,1499.5401611328125,273.4598083496094,1001.2667846679688,7.199999809265137,7.5,1.0,310.1499938964844,0.3893986642360687,0.3797839283943176,49.02012634277344,0.4898952841758728,0.4899781048297882,49.05224609375,0.47641289234161377,0.47134116291999817,1.0
6.0,0.10000000149011612,1.0,0.6428806185722351,0.6174172163009644,1.4382145404815674,1.4322876930236816,2.2867629528045654,2.2848284244537354,0.9546495079994202,0.9503358602523804,2999.0791015625,0.10000000149011612,300.9210205078125,1499.5791015625,273.4208679199219,1001.3419189453125,7.199999809265137,7.5,1.0,310.1499938964844,0.38907694816589355,0.37943384051322937,49.020164489746094,0.4898698031902313,0.48996466398239136,49.04986572265625,0.4779709577560425,0.4721646308898926,1.0
7.5,0.10000000149011612,1.0,0.5838763117790222,0.5538724660873413,1.319785714149475,1.3111660480499268,2.256113290786743,2.2526419162750244,0.9500431418418884,0.9451883435249329,2999.0341796875,0.10000000149011612,300.9658508300781,1499.70849609375,273.29150390625,1001.25732421875,7.199999809265137,7.5,1.0,310.1499938964844,0.38872429728507996,0.3790689706802368,49.02020263671875,0.48984795808792114,0.4899498224258423,49.0476188659668,0.4793061316013336,0.4730735421180725,1.0
9.0,0.10000000149011612,1.0,0.533636748790741,0.4996274709701538,1.2105516195297241,1.1990593671798706,2.2019588947296143,2.1964974403381348,0.943378210067749,0.9380444884300232,2999.05322265625,0.10000000149011612,300.94683837890625,1499.9234619140625,273.0765075683594,1001.0233764648438,7.199999809265137,7.5,1.0,310.1499938964844,0.38832756876945496,0.3786739110946655,49.02023696899414,0.4898292124271393,0.4899342358112335,49.04552459716797,0.48045051097869873,0.47402676939964294,1.0
9.5,0.10000000149011612,1.0,12.948831558227539,9.562140464782715,1.9484732151031494,1.9484732151031494,2.059352397918701,2.059352397918701,0.04529406130313873,0.04525654762983322,2999.87353515625,0.10000000149011612,300.12646484375,1499.9052734375,273.0947570800781,1000.22119140625,7.199999809265137,7.5,1.0,310.1499938964844,0.38999050855636597,0.38055452704429626,49.020015716552734,0.489985853433609,0.4899996519088745,49.059112548828125,0.4708668887615204,0.47002124786376953,1.0
10.0,0.10000000149011612,1.0,12.352502822875977,9.1221284866333,2.449197292327881,2.293381929397583,2.1357502937316895,2.1286675930023193,0.08831463754177094,0.08818037062883377,2999.712646484375,0.10000000149011612,300.2874450683594,1498.806396484375,274.1935729980469,1001.4810180664062,7.199999809265137,7.5,1.0,310.1499938964844,0.3873254358768463,0.37795087695121765,49.02002716064453,0.48997241258621216,0.48999863862991333,49.0582275390625,0.47169071435928345,0.4700828790664673,1.0
