# experiment: batch_20260309_204710
# replicate_id: 45   seed: 87
# status: completed
# t_start: 0.0   t_end: 60.0   t_units: s
# n_points_original: 121   n_points_kept: 80   compression_ratio: 1.51
# compressor: DeltaFilterCompressor   epsilon: 0.02   max_gap_s: 300.0   min_gap_s: 0.0
# generated: 2026-03-09T23:47:10Z
# col_schema: 0:time(s) | 1:P1:EPO_external:place | 2:P10:PU1_Gene:place | 3:P11:GATA1_mRNA_nuc:place | 4:P12:PU1_mRNA_nuc:place | 5:P13:GATA1_mRNA_cyto:place | 6:P14:PU1_mRNA_cyto:place | 7:P15:GATA1_Protein_cyto:place | 8:P16:PU1_Protein_cyto:place | 9:P17:GATA1_Protein_nuc:place | 10:P18:PU1_Protein_nuc:place | 11:P19:ATP:place | 12:P2:GCSF_external:place | 13:P20:ADP:place | 14:P21:GTP:place | 15:P22:GDP:place | 16:P23:Pi:place | 17:P24:pH_cytoplasm:place | 18:P25:pH_nucleus:place | 19:P26:Mg_cytoplasm:place | 20:P27:Temperature:place | 21:P28:pGATA1_nuc:place | 22:P29:pPU1_nuc:place | 23:P3:EPOR_free:place | 24:P4:EPOR_bound:place | 25:P5:EPOR_internalized:place | 26:P6:GCSFR_free:place | 27:P7:GCSFR_bound:place | 28:P8:GCSFR_internalized:place | 29:P9:GATA1_Gene:place
time,EPO_external,PU1_Gene,GATA1_mRNA_nuc,PU1_mRNA_nuc,GATA1_mRNA_cyto,PU1_mRNA_cyto,GATA1_Protein_cyto,PU1_Protein_cyto,GATA1_Protein_nuc,PU1_Protein_nuc,ATP,GCSF_external,ADP,GTP,GDP,Pi,pH_cytoplasm,pH_nucleus,Mg_cytoplasm,Temperature,pGATA1_nuc,pPU1_nuc,EPOR_free,EPOR_bound,EPOR_internalized,GCSFR_free,GCSFR_bound,GCSFR_internalized,GATA1_Gene
0.0,0.10000000149011612,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3000.0,0.10000000149011612,300.0,1500.0,273.0,1000.0,7.199999809265137,7.5,1.0,310.1499938964844,0.38999998569488525,0.3806000053882599,49.02000045776367,0.49000000953674316,0.49000000953674316,49.060001373291016,0.4699999988079071,0.4699999988079071,1.0
0.5,0.10000000149011612,1.0,0.9606773853302002,0.9580549597740173,1.9484732151031494,1.9484732151031494,2.059352397918701,2.059352397918701,0.9907229542732239,0.9901317954063416,2999.87353515625,0.10000000149011612,300.12646484375,1499.9052734375,273.0947570800781,1000.22119140625,7.199999809265137,7.5,1.0,310.1499938964844,0.38999050855636597,0.38055452704429626,49.020015716552734,0.489985853433609,0.4899996519088745,49.059112548828125,0.4708668887615204,0.47002124786376953,1.0
1.0,0.10000000149011612,1.0,0.9234453439712524,0.9182921051979065,1.8976492881774902,1.8975286483764648,2.1106748580932617,2.1106693744659424,0.9831468462944031,0.9820230007171631,2999.756591796875,0.10000000149011612,300.243408203125,1499.8214111328125,273.1785583496094,1000.4219970703125,7.199999809265137,7.5,1.0,310.1499938964844,0.3899586498737335,0.3804903030395508,49.02002716064453,0.48997241258621216,0.48999863862991333,49.0582275390625,0.47169068455696106,0.4700828492641449,1.0
1.5,0.10000000149011612,1.0,0.8881810307502747,0.8805902004241943,1.8475916385650635,1.8472398519515991,2.154491662979126,2.1544651985168457,0.9770123958587646,0.9754085540771484,2999.64892578125,0.10000000149011612,300.3509826660156,1499.7486572265625,273.2513732910156,1000.6023559570312,7.199999809265137,7.5,1.0,310.1499938964844,0.38990890979766846,0.38041144609451294,49.020042419433594,0.4899596571922302,0.4899970591068268,49.05734634399414,0.4724734127521515,0.47018080949783325,1.0
2.0,0.10000000149011612,1.0,0.8547701239585876,0.8448355793952942,1.7983546257019043,1.7976711988449097,2.1913039684295654,2.191232442855835,0.9720841646194458,0.9700478315353394,2999.55078125,0.10000000149011612,300.4492492675781,1499.686767578125,273.3132629394531,1000.7625122070312,7.199999809265137,7.5,1.0,310.1499938964844,0.3898449242115021,0.3803213834762573,49.020057678222656,0.48994749784469604,0.48999491333961487,49.05647277832031,0.47321709990501404,0.47031140327453613,1.0
3.0,0.10000000149011612,1.0,0.7930902242660522,0.7787483930587769,1.7025216817855835,1.7009104490280151,2.2458136081695557,2.245551586151123,0.9650164842605591,0.9622381329536438,2999.38134765625,0.10000000149011612,300.61859130859375,1499.595703125,273.40423583984375,1001.0228271484375,7.199999809265137,7.5,1.0,310.1499938964844,0.38968583941459656,0.3801184892654419,49.020084381103516,0.48992499709129333,0.4899892807006836,49.05474853515625,0.47459471225738525,0.4706568717956543,1.0
4.0,0.10000000149011612,1.0,0.7376406192779541,0.7192555665969849,1.6104393005371094,1.60760498046875,2.277785301208496,2.277165174484253,0.9604867100715637,0.9571013450622559,2999.247314453125,0.10000000149011612,300.7527160644531,1499.548095703125,273.4519348144531,1001.2046508789062,7.199999809265137,7.5,1.0,310.1499938964844,0.38949906826019287,0.3798978626728058,49.02011489868164,0.4899047017097473,0.48998212814331055,49.05306625366211,0.47583773732185364,0.4710945188999176,1.0
5.0,0.10000000149011612,1.0,0.6877607703208923,0.6656772494316101,1.5222992897033691,1.5180085897445679,2.2904632091522217,2.289289951324463,0.9573333859443665,0.9534450769424438,2999.14697265625,0.10000000149011612,300.85302734375,1499.5428466796875,273.4571533203125,1001.3101806640625,7.199999809265137,7.5,1.0,310.1499938964844,0.38929465413093567,0.3796685039997101,49.0201416015625,0.4898863732814789,0.48997384309768677,49.05143737792969,0.4769591987133026,0.471603125333786,1.0
6.0,0.10000000149011612,1.0,0.6428806185722351,0.6174172163009644,1.4382145404815674,1.4322876930236816,2.2867629528045654,2.2848284244537354,0.9546495079994202,0.9503358602523804,2999.0791015625,0.10000000149011612,300.9210205078125,1499.5791015625,273.4208679199219,1001.3419189453125,7.199999809265137,7.5,1.0,310.1499938964844,0.38907694816589355,0.37943384051322937,49.020164489746094,0.4898698031902313,0.48996466398239136,49.04986572265625,0.4779709577560425,0.4721646308898926,1.0
7.0,0.10000000149011612,1.0,0.6025078892707825,0.5739523768424988,1.3582346439361572,1.350537896156311,2.2692859172821045,2.266378879547119,0.9517443180084229,0.947060227394104,2999.041748046875,0.10000000149011612,300.958251953125,1499.6556396484375,273.3443908691406,1001.3026733398438,7.199999809265137,7.5,1.0,310.1499938964844,0.388845831155777,0.37919294834136963,49.02019119262695,0.4898548722267151,0.4899548590183258,49.0483512878418,0.4788837432861328,0.4727638363838196,1.0
8.0,0.10000000149011612,1.0,0.5662164688110352,0.5348237156867981,1.2823597192764282,1.2727974653244019,2.240339756011963,2.236253499984741,0.9481076598167419,0.9430888891220093,2999.03369140625,0.10000000149011612,300.9663391113281,1499.7708740234375,273.2290954589844,1001.1954345703125,7.199999809265137,7.5,1.0,310.1499938964844,0.38859793543815613,0.37894174456596375,49.02021408081055,0.48984140157699585,0.4899446666240692,49.046905517578125,0.4797073304653168,0.47338807582855225,1.0
9.0,0.10000000149011612,1.0,0.533636748790741,0.4996274709701538,1.2105516195297241,1.1990593671798706,2.2019588947296143,2.1964974403381348,0.943378210067749,0.9380444884300232,2999.05322265625,0.10000000149011612,300.94683837890625,1499.9234619140625,273.0765075683594,1001.0233764648438,7.199999809265137,7.5,1.0,310.1499938964844,0.38832756876945496,0.3786739110946655,49.02023696899414,0.4898292124271393,0.4899342358112335,49.04552459716797,0.48045051097869873,0.47402676939964294,1.0
10.0,0.10000000149011612,1.0,0.5044470429420471,0.46800822019577026,1.1427428722381592,1.1292811632156372,2.155930280685425,2.148911476135254,0.9373159408569336,0.9316737055778503,2999.0986328125,0.10000000149011612,300.9013671875,1500.1116943359375,272.88824462890625,1000.7896118164062,7.199999809265137,7.5,1.0,310.1499938964844,0.3880276679992676,0.3783816993236542,49.020259857177734,0.4898182153701782,0.4899236857891083,49.04420852661133,0.4811211824417114,0.47467124462127686,1.0
11.0,0.10000000149011612,1.0,0.47836628556251526,0.4396520256996155,1.0788445472717285,1.0633935928344727,2.1038172245025635,2.095074415206909,0.9297778606414795,0.9238230586051941,2999.16845703125,0.10000000149011612,300.8314208984375,1500.333984375,272.66595458984375,1000.4973754882812,7.199999809265137,7.5,1.0,310.1499938964844,0.3876901865005493,0.37805646657943726,49.02027893066406,0.4898082911968231,0.4899131655693054,49.0429573059082,0.4817264974117279,0.4753143787384033,1.0
12.0,0.10000000149011612,1.0,0.45514827966690063,0.41428104043006897,1.0187522172927856,1.0013062953948975,2.0469818115234375,2.0363662242889404,0.9206985831260681,0.9144183397293091,2999.261474609375,0.10000000149011612,300.738525390625,1500.588623046875,272.4113464355469,1000.14990234375,7.199999809265137,7.5,1.0,310.1499938964844,0.38730674982070923,0.3776892125606537,49.02029800415039,0.4897993505001068,0.4899027645587921,49.041778564453125,0.4822728633880615,0.4759504199028015,1.0
13.0,0.10000000149011612,1.0,0.43457648158073425,0.3916487991809845,0.9623498916625977,0.9429143071174622,1.9866077899932861,1.9739876985549927,0.9100730419158936,0.9034479856491089,2999.3759765625,0.10000000149011612,300.6241149902344,1500.8739013671875,272.1260986328125,999.750244140625,7.199999809265137,7.5,1.0,310.1499938964844,0.38686901330947876,0.37727096676826477,49.02031707763672,0.48979124426841736,0.48989254236221313,49.0406608581543,0.4827660620212555,0.4765748083591461,1.0
