time,P12,P14,P21,P24,P27,P3,P6,P7,P8,T1,T6
0.0,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
0.5,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
0.5012,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
1.0011999999999999,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
1.0024,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
1.5024,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
1.5036,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
2.0036,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
2.0048,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
2.5048,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
2.506,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
3.006,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
3.0071999999999997,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
3.5071999999999997,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
3.5083999999999995,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
4.0084,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
4.0099,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
4.5099,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
4.5114,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
5.0114,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
5.0129,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
5.5129,40.0,0,0,2.0,4.0,1,0,0,0,5188,1398
5.5144,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
6.0144,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
6.0156,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
6.5156,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
6.5168,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
7.0168,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
7.018,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
7.518,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
7.5192,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
8.0192,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
8.0204,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
8.5204,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
8.521600000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
9.021600000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
9.022800000000002,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
9.522800000000002,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
9.524000000000003,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
10.024000000000003,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
10.025200000000003,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
10.525200000000003,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
10.526400000000004,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
11.026400000000004,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
11.027600000000005,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
11.527600000000005,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
11.528800000000006,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
12.028800000000006,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
12.030000000000006,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
12.530000000000006,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
12.531200000000007,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
13.031200000000007,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
13.032400000000008,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
13.532400000000008,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
13.533600000000009,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
14.033600000000009,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
14.03480000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
14.53480000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
14.53600000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
15.03600000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
15.037200000000011,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
15.537200000000011,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
15.538400000000012,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
16.03840000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
16.03960000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
16.53960000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
16.54080000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
17.04080000000001,50.0,0,0,2.0,4.0,1,0,0,0,5188,1398
